Time,Protocol,Average Delay (s),Loss Rate (%),Average Load,Average Distance,Reachability Rate (%),MAB Selection Rate (%)
104.0,V2I,0.5,0.0,1.0,67.88113802817392,100.0,28.426395939086298
105.0,V2V,0.1,0.0,1.0,4.150000000000006,100.0,71.35678391959799
105.0,V2I,0.5,0.0,1.0,58.417874832965296,100.0,28.643216080402013
106.0,V2V,0.1,0.0,1.0,3.044899282503798,100.0,71.64179104477611
107.0,V2V,0.1,0.0,1.0,3.233728498189049,100.0,71.42857142857143
107.0,V2I,0.5,0.0,1.0,35.31692087371151,100.0,28.57142857142857
108.0,V2V,0.1,0.0,1.0,2.8849810073572772,100.0,71.70731707317073
109.0,V2V,0.1,0.0,1.0,2.16,100.0,71.49758454106279
109.0,V2I,0.5,0.0,1.0,13.104579352272241,100.0,28.502415458937197
110.0,V2I,0.5,0.0,1.0,15.014390625387165,100.0,29.1866028708134
111.0,V2V,0.15000000000000002,50.0,1.0,0.6649999999999991,100.0,71.09004739336493
112.0,V2I,0.5,0.0,1.0,24.731892092656597,100.0,29.577464788732392
113.0,V2V,0.1,0.0,1.0,0.837069063257454,100.0,70.69767441860465
114.0,V2V,0.1,0.0,1.0,0.5500000000000043,100.0,70.50691244239631
114.0,V2I,0.5,0.0,1.0,15.35349145959967,100.0,29.493087557603687
115.0,V2V,0.1,0.0,1.0,0.6130277563773223,100.0,70.77625570776256
116.0,V2V,0.125,0.0,1.0,0.705000000000003,100.0,71.04072398190046
117.0,V2V,0.1,0.0,1.0,1.5,100.0,70.85201793721974
117.0,V2I,0.5,0.0,1.0,15.19427852844616,100.0,29.14798206278027
118.0,V2I,0.75,0.0,1.0,15.19427852844616,100.0,29.464285714285715
119.0,V2I,0.5,0.0,1.0,14.912679169082931,100.0,29.777777777777775
120.0,V2I,0.5,0.0,1.0,17.08917786202718,100.0,30.08849557522124
121.0,V2V,0.1,0.0,1.0,1.7200000000000006,100.0,70.04405286343612
122.0,V2V,0.1,0.0,1.0,2.2926840166058637,100.0,70.17543859649122
123.0,V2I,0.5,0.0,1.0,39.43703842836072,100.0,30.131004366812224
124.0,V2I,0.5,0.0,1.0,51.51082313456076,100.0,30.434782608695656
125.0,V2V,0.1,0.0,1.0,2.475095957735782,100.0,69.6969696969697
126.0,V2I,0.5,0.0,1.0,78.91089912046371,100.0,30.603448275862068
127.0,V2V,0.1,0.0,1.0,2.670674072214723,100.0,69.52789699570815
128.0,V2V,0.1,0.0,1.0,2.380000000000002,100.0,69.52789699570815
